id,lat,lng
GD1-12-13,37.8665351805155,118.78339050218412
GD1-13-213,37.86697480674322,118.78469651155554
GD1-13-414,37.867540076245334,118.78514195646598
GD1-14-13,37.86784428266815,118.78676289808224
GD1-15-12,37.868577566397384,118.78800786811675
GD1-16-13,37.86923362740165,118.78988735592834
GD1-16NB13,37.86908191356259,118.78949732343148
GD1-17-13,37.87019200733153,118.79143328847833
GD1-18-13,37.87103260966374,118.79302186157601
GD1-19-12,37.87162035786574,118.79494525388633
GD1-11-18,37.87479884942755,118.77454365553358
GD1-12-419,37.87525710136174,118.77700939180538
GD1-13-19,37.87629695929254,118.7779435554154
GD1-14-19,37.87727213099044,118.77958080983711
GD1-15-18,37.87794289247705,118.78168810223504
GD1-16-419,37.87850909792586,118.7847475722354
GD1-16-819,37.87849098942452,118.78356517289957
GD1-18-319,37.879750247207795,118.7878461382657
GD1B29,37.87539641985995,118.77762642561812
GD1-10-19,37.87406531705209,118.77270775697994
GD1-14-819,37.87701772442012,118.78091573379182
GD1-15-20,37.87842435046279,118.77904028923037
GD1-14X521,37.878905735395776,118.77877910919068
GD1-14-319,37.876755237454226,118.78129581390242
GD1-15-16,37.87479135628178,118.78368050176216
GD1-15-717,37.87618010326063,118.78269117873215
GD1-15N16,37.87487099720417,118.78347786228437
GD1-15NB16,37.873549805290224,118.78476425470734
GD1-15-013,37.87014987591361,118.78650040865921
GD1-15-14,37.87160932705667,118.78589927920287
GD1-15-15,37.87327862305751,118.78482589559862
GD1-15-215,37.87142961336416,118.78646313633821
GD1-15-711,37.867178404961166,118.78938309394735
GD1-15-713,37.869592296695174,118.78703239644022
GD1-15-815,37.87310029271476,118.78529888787183
GD1-15-913,37.8706399750755,118.78685316077583
GD1-15-914,37.87241283608386,118.78578231271848
GD1-15-011,37.86642340693352,118.79016025186809
GD1-15-211,37.86684802108473,118.79007962181022
GD1-15-411,37.8659878923891,118.79051333144142
GD1-15-811,37.86663311727222,118.7901426004805
